ModuleName,Layer,DomainGuessV2,RelativeBuildCsPath,TriggerKeywords,TargetSkill,SecondarySkill,RouteConfidence,RouteReason
AITestSuite,Developer,General,Developer\AITestSuite\AITestSuite.Build.cs,unreal|module|aitest|suite,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
AndroidDeviceDetection,Developer,General,Developer\Android\AndroidDeviceDetection\AndroidDeviceDetection.Build.cs,unreal|module|android|device|detection,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
AndroidPlatformEditor,Developer,General,Developer\Android\AndroidPlatformEditor\AndroidPlatformEditor.Build.cs,unreal|module|android|platform,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
AndroidTargetPlatform,Developer,General,Developer\Android\AndroidTargetPlatform\AndroidTargetPlatform.Build.cs,unreal|module|android|target|platform,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
AndroidTargetPlatformControls,Developer,General,Developer\Android\AndroidTargetPlatformControls\AndroidTargetPlatformControls.Build.cs,unreal|module|android|target|platform|controls,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
AndroidTargetPlatformSettings,Developer,General,Developer\Android\AndroidTargetPlatformSettings\AndroidTargetPlatformSettings.Build.cs,unreal|module|android|target|platform|settings,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
AnimationDataController,Developer,Animation,Developer\AnimationDataController\AnimationDataController.build.cs,animation|skeletal|rig|data|controller,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AnimationWidgets,Developer,Animation,Developer\AnimationWidgets\AnimationWidgets.Build.cs,animation|skeletal|rig|widgets,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AssetTools,Developer,AssetsBuildPipeline,Developer\AssetTools\AssetTools.Build.cs,asset|cook|package|tools,ue5-performance-packaging,ue5-architecture,high,module_override
AudioFormatADPCM,Developer,Audio,Developer\AudioFormatADPCM\AudioFormatADPCM.Build.cs,audio|sound|metasound|format|adpcm,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AudioFormatBink,Developer,Audio,Developer\AudioFormatBink\AudioFormatBink.Build.cs,audio|sound|metasound|format|bink,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
