ModuleName,Layer,DomainGuess,RelativeBuildCsPath,TriggerKeywords
AITestSuite,Developer,UI,Developer\AITestSuite\AITestSuite.Build.cs,aitestsuite|slate|umg|widget
AndroidDeviceDetection,Developer,UI,Developer\Android\AndroidDeviceDetection\AndroidDeviceDetection.Build.cs,androiddevicedetection|android|slate|umg|widget
AndroidPlatformEditor,Developer,UI,Developer\Android\AndroidPlatformEditor\AndroidPlatformEditor.Build.cs,androidplatformeditor|android|slate|umg|widget
AndroidTargetPlatform,Developer,UI,Developer\Android\AndroidTargetPlatform\AndroidTargetPlatform.Build.cs,androidtargetplatform|android|slate|umg|widget
AndroidTargetPlatformControls,Developer,UI,Developer\Android\AndroidTargetPlatformControls\AndroidTargetPlatformControls.Build.cs,androidtargetplatformcontrols|android|slate|umg|widget
AndroidTargetPlatformSettings,Developer,UI,Developer\Android\AndroidTargetPlatformSettings\AndroidTargetPlatformSettings.Build.cs,androidtargetplatformsettings|android|slate|umg|widget
AnimationDataController,Developer,Animation,Developer\AnimationDataController\AnimationDataController.build.cs,animationdatacontroller|animation|rig|skeletal
AnimationWidgets,Developer,Animation,Developer\AnimationWidgets\AnimationWidgets.Build.cs,animationwidgets|animation|rig|skeletal
AssetTools,Developer,UI,Developer\AssetTools\AssetTools.Build.cs,assettools|slate|umg|widget
AudioFormatADPCM,Developer,Audio,Developer\AudioFormatADPCM\AudioFormatADPCM.Build.cs,audioformatadpcm|audio|metasound|sound
AudioFormatBink,Developer,Audio,Developer\AudioFormatBink\AudioFormatBink.Build.cs,audioformatbink|audio|metasound|sound
AudioFormatOgg,Developer,Audio,Developer\AudioFormatOgg\AudioFormatOgg.Build.cs,audioformatogg|audio|metasound|sound
AudioFormatOpus,Developer,Audio,Developer\AudioFormatOpus\AudioFormatOpus.Build.cs,audioformatopus|audio|metasound|sound
AudioFormatRad,Developer,Audio,Developer\AudioFormatRad\AudioFormatRad.Build.cs,audioformatrad|audio|metasound|sound
AudioSettingsEditor,Developer,Audio,Developer\AudioSettingsEditor\AudioSettingsEditor.Build.cs,audiosettingseditor|audio|metasound|sound
AutomationController,Developer,UI,Developer\AutomationController\AutomationController.Build.cs,automationcontroller|slate|umg|widget
AutomationDriver,Developer,UI,Developer\AutomationDriver\AutomationDriver.Build.cs,automationdriver|slate|umg|widget
AutomationWindow,Developer,UI,Developer\AutomationWindow\AutomationWindow.Build.cs,automationwindow|slate|umg|widget
BlankModule,Developer,UI,Developer\BlankModule\BlankModule.Build.cs,blankmodule|slate|umg|widget
BSPUtils,Developer,UI,Developer\BSPUtils\BSPUtils.Build.cs,bsputils|slate|umg|widget
CollectionManager,Developer,UI,Developer\CollectionManager\CollectionManager.Build.cs,collectionmanager|slate|umg|widget
CollisionAnalyzer,Developer,Physics,Developer\CollisionAnalyzer\CollisionAnalyzer.Build.cs,collisionanalyzer|chaos|collision|physics
