ModuleName,Layer,TargetSkill,PrimaryAliases,ExcludeTerms,RelativeBuildCsPath
AITestSuite,Developer,ue5-architecture,aitestsuite|unreal|module|aitest,email|translation|copywriting,Developer\AITestSuite\AITestSuite.Build.cs
AndroidDeviceDetection,Developer,ue5-architecture,androiddevicedetection|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidDeviceDetection\AndroidDeviceDetection.Build.cs
AndroidPlatformEditor,Developer,ue5-architecture,androidplatformeditor|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidPlatformEditor\AndroidPlatformEditor.Build.cs
AndroidTargetPlatform,Developer,ue5-architecture,androidtargetplatform|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidTargetPlatform\AndroidTargetPlatform.Build.cs
AndroidTargetPlatformControls,Developer,ue5-architecture,androidtargetplatformcontrols|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidTargetPlatformControls\AndroidTargetPlatformControls.Build.cs
AndroidTargetPlatformSettings,Developer,ue5-architecture,androidtargetplatformsettings|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidTargetPlatformSettings\AndroidTargetPlatformSettings.Build.cs
AnimationDataController,Developer,ue5-cpp-gameplay,animationdatacontroller|animation|skeletal|rig,email|translation|copywriting,Developer\AnimationDataController\AnimationDataController.build.cs
AnimationWidgets,Developer,ue5-cpp-gameplay,animationwidgets|animation|skeletal|rig,email|translation|copywriting,Developer\AnimationWidgets\AnimationWidgets.Build.cs
AssetTools,Developer,ue5-performance-packaging,assettools|asset|cook|package,email|translation|copywriting,Developer\AssetTools\AssetTools.Build.cs
AudioFormatADPCM,Developer,ue5-cpp-gameplay,audioformatadpcm|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatADPCM\AudioFormatADPCM.Build.cs
AudioFormatBink,Developer,ue5-cpp-gameplay,audioformatbink|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatBink\AudioFormatBink.Build.cs
AudioFormatOgg,Developer,ue5-cpp-gameplay,audioformatogg|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatOgg\AudioFormatOgg.Build.cs
AudioFormatOpus,Developer,ue5-cpp-gameplay,audioformatopus|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatOpus\AudioFormatOpus.Build.cs
AudioFormatRad,Developer,ue5-cpp-gameplay,audioformatrad|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatRad\AudioFormatRad.Build.cs
AudioSettingsEditor,Developer,ue5-cpp-gameplay,audiosettingseditor|audio|sound|metasound,email|translation|copywriting,Developer\AudioSettingsEditor\AudioSettingsEditor.Build.cs
AutomationController,Developer,ue5-architecture,automationcontroller|unreal|module|automation,email|translation|copywriting,Developer\AutomationController\AutomationController.Build.cs
AutomationDriver,Developer,ue5-architecture,automationdriver|unreal|module|automation,email|translation|copywriting,Developer\AutomationDriver\AutomationDriver.Build.cs
AutomationWindow,Developer,ue5-architecture,automationwindow|unreal|module|automation,email|translation|copywriting,Developer\AutomationWindow\AutomationWindow.Build.cs
BlankModule,Developer,ue5-architecture,blankmodule|unreal|module|blank,email|translation|copywriting,Developer\BlankModule\BlankModule.Build.cs
BSPUtils,Developer,ue5-architecture,bsputils|unreal|module,email|translation|copywriting,Developer\BSPUtils\BSPUtils.Build.cs
CollectionManager,Developer,ue5-architecture,collectionmanager|unreal|module|collection,email|translation|copywriting,Developer\CollectionManager\CollectionManager.Build.cs
CollisionAnalyzer,Developer,ue5-world-interaction,collisionanalyzer|physics|chaos|collision,email|translation|copywriting,Developer\CollisionAnalyzer\CollisionAnalyzer.Build.cs
CookedEditor,Developer,ue5-architecture,cookededitor|unreal|module|cooked,email|translation|copywriting,Developer\CookedEditor\CookedEditor.Build.cs
CookMetadata,Developer,ue5-performance-packaging,cookmetadata|asset|cook|package,email|translation|copywriting,Developer\CookMetadata\CookMetadata.Build.cs
CookOnTheFlyNetServer,Developer,ue5-save-load-replication,cookontheflynetserver|network|online|replication,email|translation|copywriting,Developer\CookOnTheFlyNetServer\CookOnTheFlyNetServer.Build.cs
CQTest,Developer,ue5-architecture,cqtest|unreal|module,email|translation|copywriting,Developer\CQTest\CQTest.Build.cs
CrashDebugHelper,Developer,ue5-architecture,crashdebughelper|unreal|module|crash,email|translation|copywriting,Developer\CrashDebugHelper\CrashDebugHelper.Build.cs
CSVUtils,Developer,ue5-architecture,csvutils|unreal|module,email|translation|copywriting,Developer\CSVUtils\CSVUtils.build.cs
DatasmithExporter,Developer,ue5-architecture,datasmithexporter|unreal|module|datasmith,email|translation|copywriting,Developer\Datasmith\DatasmithExporter\DatasmithExporter.Build.cs
DatasmithExporterUI,Developer,ue5-ui-umg-slate,datasmithexporterui|ui|umg|slate,email|translation|copywriting,Developer\Datasmith\DatasmithExporterUI\DatasmithExporterUI.Build.cs
DatasmithFacade,Developer,ue5-architecture,datasmithfacade|unreal|module|datasmith,email|translation|copywriting,Developer\Datasmith\DatasmithFacade\DatasmithFacade.Build.cs
DerivedDataCache,Developer,ue5-architecture,deriveddatacache|unreal|module|derived,email|translation|copywriting,Developer\DerivedDataCache\DerivedDataCache.Build.cs
DesktopPlatform,Developer,ue5-architecture,desktopplatform|unreal|module|desktop,email|translation|copywriting,Developer\DesktopPlatform\DesktopPlatform.Build.cs
DesktopWidgets,Developer,ue5-architecture,desktopwidgets|unreal|module|desktop,email|translation|copywriting,Developer\DesktopWidgets\DesktopWidgets.Build.cs
DeveloperToolSettings,Developer,ue5-architecture,developertoolsettings|unreal|module|tool,email|translation|copywriting,Developer\DeveloperToolSettings\DeveloperToolSettings.Build.cs
DevHttp,Developer,ue5-save-load-replication,devhttp|network|online|replication,email|translation|copywriting,Developer\DevHttp\DevHttp.Build.cs
DeviceManager,Developer,ue5-architecture,devicemanager|unreal|module|device,email|translation|copywriting,Developer\DeviceManager\DeviceManager.Build.cs
DirectoryWatcher,Developer,ue5-architecture,directorywatcher|unreal|module|directory,email|translation|copywriting,Developer\DirectoryWatcher\DirectoryWatcher.Build.cs
DistributedBuildInterface,Developer,ue5-architecture,distributedbuildinterface|unreal|module|distributed,email|translation|copywriting,Developer\DistributedBuildInterface\DistributedBuildInterface.build.cs
DrawPrimitiveDebugger,Developer,ue5-architecture,drawprimitivedebugger|unreal|module|draw,email|translation|copywriting,Developer\DrawPrimitiveDebugger\DrawPrimitiveDebugger.Build.cs
EditorAnalyticsSession,Developer,ue5-architecture,editoranalyticssession|unreal|module|analytics,email|translation|copywriting,Developer\EditorAnalyticsSession\EditorAnalyticsSession.Build.cs
ExternalImagePicker,Developer,ue5-architecture,externalimagepicker|unreal|module|external,email|translation|copywriting,Developer\ExternalImagePicker\ExternalImagePicker.Build.cs
FileUtilities,Developer,ue5-architecture,fileutilities|unreal|module|file,email|translation|copywriting,Developer\FileUtilities\FileUtilities.Build.cs
FunctionalTesting,Developer,ue5-architecture,functionaltesting|unreal|module|functional,email|translation|copywriting,Developer\FunctionalTesting\FunctionalTesting.Build.cs
GeometryProcessingInterfaces,Developer,ue5-architecture,geometryprocessinginterfaces|unreal|module|geometry,email|translation|copywriting,Developer\GeometryProcessingInterfaces\GeometryProcessingInterfaces.Build.cs
GraphColor,Developer,ue5-architecture,graphcolor|unreal|module|graph,email|translation|copywriting,Developer\GraphColor\GraphColor.Build.cs
HierarchicalLODUtilities,Developer,ue5-architecture,hierarchicallodutilities|unreal|module|hierarchical,email|translation|copywriting,Developer\HierarchicalLODUtilities\HierarchicalLODUtilities.Build.cs
Horde,Developer,ue5-architecture,horde|unreal|module,email|translation|copywriting,Developer\Horde\Horde.Build.cs
HotReload,Developer,ue5-architecture,hotreload|unreal|module|hot,email|translation|copywriting,Developer\HotReload\HotReload.Build.cs
IOSPlatformEditor,Developer,ue5-architecture,iosplatformeditor|unreal|module|iosplatform,email|translation|copywriting,Developer\IOS\IOSPlatformEditor\IOSPlatformEditor.Build.cs
IOSTargetPlatform,Developer,ue5-architecture,iostargetplatform|unreal|module|iostarget,email|translation|copywriting,Developer\IOS\IOSTargetPlatform\IOSTargetPlatform.Build.cs
IOSTargetPlatformControls,Developer,ue5-architecture,iostargetplatformcontrols|unreal|module|iostarget,email|translation|copywriting,Developer\IOS\IOSTargetPlatformControls\IOSTargetPlatformControls.Build.cs
IOSTargetPlatformSettings,Developer,ue5-architecture,iostargetplatformsettings|unreal|module|iostarget,email|translation|copywriting,Developer\IOS\IOSTargetPlatformSettings\IOSTargetPlatformSettings.Build.cs
IoStoreUtilities,Developer,ue5-architecture,iostoreutilities|unreal|module|store,email|translation|copywriting,Developer\IoStoreUtilities\IoStoreUtilities.Build.cs
LauncherServices,Developer,ue5-architecture,launcherservices|unreal|module|launcher,email|translation|copywriting,Developer\LauncherServices\LauncherServices.Build.cs
LegacyProjectLauncher,Developer,ue5-architecture,legacyprojectlauncher|unreal|module|legacy,email|translation|copywriting,Developer\LegacyProjectLauncher\LegacyProjectLauncher.Build.cs
LinuxArm64TargetPlatform,Developer,ue5-architecture,linuxarm64targetplatform|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxArm64TargetPlatform\LinuxArm64TargetPlatform.Build.cs
LinuxArm64TargetPlatformControls,Developer,ue5-architecture,linuxarm64targetplatformcontrols|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxArm64TargetPlatformControls\LinuxArm64TargetPlatformControls.Build.cs
LinuxArm64TargetPlatformSettings,Developer,ue5-architecture,linuxarm64targetplatformsettings|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxArm64TargetPlatformSettings\LinuxArm64TargetPlatformSettings.Build.cs
LinuxPlatformEditor,Developer,ue5-architecture,linuxplatformeditor|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxPlatformEditor\LinuxPlatformEditor.Build.cs
LinuxTargetPlatform,Developer,ue5-architecture,linuxtargetplatform|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxTargetPlatform\LinuxTargetPlatform.Build.cs
LinuxTargetPlatformControls,Developer,ue5-architecture,linuxtargetplatformcontrols|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxTargetPlatformControls\LinuxTargetPlatformControls.Build.cs
