ModuleName,Layer,TargetSkill,SecondarySkill,RouteConfidence,RouteReason,PrimaryAliases,ExcludeTerms,RelativeBuildCsPath
AITestSuite,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,aitestsuite|unreal|module|aitest,email|translation|copywriting,Developer\AITestSuite\AITestSuite.Build.cs
AndroidDeviceDetection,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,androiddevicedetection|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidDeviceDetection\AndroidDeviceDetection.Build.cs
AndroidPlatformEditor,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,androidplatformeditor|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidPlatformEditor\AndroidPlatformEditor.Build.cs
AndroidTargetPlatform,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,androidtargetplatform|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidTargetPlatform\AndroidTargetPlatform.Build.cs
AndroidTargetPlatformControls,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,androidtargetplatformcontrols|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidTargetPlatformControls\AndroidTargetPlatformControls.Build.cs
AndroidTargetPlatformSettings,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,androidtargetplatformsettings|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidTargetPlatformSettings\AndroidTargetPlatformSettings.Build.cs
AnimationDataController,Developer,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping,animationdatacontroller|animation|skeletal|rig,email|translation|copywriting,Developer\AnimationDataController\AnimationDataController.build.cs
AnimationWidgets,Developer,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping,animationwidgets|animation|skeletal|rig,email|translation|copywriting,Developer\AnimationWidgets\AnimationWidgets.Build.cs
AssetTools,Developer,ue5-performance-packaging,ue5-architecture,high,module_override,assettools|asset|cook|package,email|translation|copywriting,Developer\AssetTools\AssetTools.Build.cs
AudioFormatADPCM,Developer,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping,audioformatadpcm|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatADPCM\AudioFormatADPCM.Build.cs
AudioFormatBink,Developer,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping,audioformatbink|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatBink\AudioFormatBink.Build.cs
AudioFormatOgg,Developer,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping,audioformatogg|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatOgg\AudioFormatOgg.Build.cs
AudioFormatOpus,Developer,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping,audioformatopus|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatOpus\AudioFormatOpus.Build.cs
AudioFormatRad,Developer,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping,audioformatrad|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatRad\AudioFormatRad.Build.cs
AudioSettingsEditor,Developer,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping,audiosettingseditor|audio|sound|metasound,email|translation|copywriting,Developer\AudioSettingsEditor\AudioSettingsEditor.Build.cs
AutomationController,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,automationcontroller|unreal|module|automation,email|translation|copywriting,Developer\AutomationController\AutomationController.Build.cs
AutomationDriver,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,automationdriver|unreal|module|automation,email|translation|copywriting,Developer\AutomationDriver\AutomationDriver.Build.cs
AutomationWindow,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,automationwindow|unreal|module|automation,email|translation|copywriting,Developer\AutomationWindow\AutomationWindow.Build.cs
BlankModule,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,blankmodule|unreal|module|blank,email|translation|copywriting,Developer\BlankModule\BlankModule.Build.cs
BSPUtils,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,bsputils|unreal|module,email|translation|copywriting,Developer\BSPUtils\BSPUtils.Build.cs
ChaosTestHarness,Developer,ue5-world-interaction,ue5-cpp-gameplay,medium,domain_mapping,chaostestharness|physics|chaos|collision,email|translation|copywriting,Developer\ChaosTestHarness\ChaosTestHarness.Build.cs
CollectionManager,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,collectionmanager|unreal|module|collection,email|translation|copywriting,Developer\CollectionManager\CollectionManager.Build.cs
CollisionAnalyzer,Developer,ue5-world-interaction,ue5-cpp-gameplay,medium,domain_mapping,collisionanalyzer|physics|chaos|collision,email|translation|copywriting,Developer\CollisionAnalyzer\CollisionAnalyzer.Build.cs
CookedEditor,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,cookededitor|unreal|module|cooked,email|translation|copywriting,Developer\CookedEditor\CookedEditor.Build.cs
CookMetadata,Developer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping,cookmetadata|asset|cook|package,email|translation|copywriting,Developer\CookMetadata\CookMetadata.Build.cs
CookOnTheFlyNetServer,Developer,ue5-performance-packaging,ue5-architecture,high,module_override,cookontheflynetserver|network|online|replication,email|translation|copywriting,Developer\CookOnTheFlyNetServer\CookOnTheFlyNetServer.Build.cs
CQTest,Developer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping,cqtest|unreal|module,email|translation|copywriting,Developer\CQTest\CQTest.Build.cs
